Kit_ID,primer,replicate,Cq
8ab3911ce0,N1,2.0,31.85
8ab3911ce0,N1,3.0,31.99
8ab3911ce0,N2,1.0,32.49
8ab3911ce0,N2,2.0,32.36
8ab3911ce0,N2,3.0,32.47
da943323ac,N1,1.0,33.13
da943323ac,N1,2.0,32.4
da943323ac,N1,3.0,32.78
da943323ac,N2,1.0,34.0
da943323ac,N2,2.0,33.6
da943323ac,N2,3.0,33.37
d5fd5a4b32,N1,1.0,34.95
d5fd5a4b32,N1,2.0,35.45
d5fd5a4b32,N1,3.0,34.59
d5fd5a4b32,N2,1.0,34.98
d5fd5a4b32,N2,2.0,35.22
d5fd5a4b32,N2,3.0,
c5996823b5,N1,1.0,33.68
c5996823b5,N1,2.0,33.27
c5996823b5,N1,3.0,33.52
c5996823b5,N2,1.0,34.31
c5996823b5,N2,2.0,34.17
c5996823b5,N2,3.0,33.7
0a50864c36,N1,1.0,32.43
0a50864c36,N1,2.0,32.52
0a50864c36,N1,3.0,32.64
0a50864c36,N2,1.0,33.67
0a50864c36,N2,2.0,33.84
0a50864c36,N2,3.0,33.99
98addc9f45,N1,1.0,30.62
98addc9f45,N1,2.0,30.35
98addc9f45,N1,3.0,30.49
98addc9f45,N2,1.0,31.07
98addc9f45,N2,2.0,31.15
98addc9f45,N2,3.0,31.02
608942a960,N1,1.0,34.27
608942a960,N1,2.0,34.62
608942a960,N1,3.0,34.33
608942a960,N2,1.0,34.41
608942a960,N2,2.0,35.1
608942a960,N2,3.0,34.64
83a6dc864b,N1,1.0,35.21
83a6dc864b,N1,2.0,35.28
83a6dc864b,N1,3.0,34.73
83a6dc864b,N2,1.0,34.9
83a6dc864b,N2,2.0,35.71
83a6dc864b,N2,3.0,35.22
52fe71f8e2,N1,1.0,33.13
52fe71f8e2,N1,2.0,33.82
52fe71f8e2,N1,3.0,32.99
52fe71f8e2,N2,1.0,33.42
52fe71f8e2,N2,2.0,33.75
52fe71f8e2,N2,3.0,33.53
83a7902a78,N1,1.0,34.92
83a7902a78,N1,2.0,34.92
83a7902a78,N1,3.0,36.04
83a7902a78,N2,1.0,36.87
83a7902a78,N2,2.0,35.25
83a7902a78,N2,3.0,35.41
8a6fd20599,N1,1.0,33.22
8a6fd20599,N1,2.0,33.4
8a6fd20599,N1,3.0,33.58
8a6fd20599,N2,1.0,34.02
8a6fd20599,N2,2.0,34.39
8a6fd20599,N2,3.0,33.72
836a219794,N1,1.0,34.43
836a219794,N1,2.0,34.29
836a219794,N1,3.0,34.73
836a219794,N2,1.0,35.04
836a219794,N2,2.0,35.92
836a219794,N2,3.0,36.44
c685a47b56,N1,1.0,33.54
c685a47b56,N1,2.0,33.93
c685a47b56,N1,3.0,32.83
c685a47b56,N2,1.0,33.46
c685a47b56,N2,2.0,34.33
c685a47b56,N2,3.0,34.09
27a1301570,N1,1.0,33.2
27a1301570,N1,2.0,32.85
27a1301570,N1,3.0,32.57
27a1301570,N2,1.0,33.32
27a1301570,N2,2.0,33.12
27a1301570,N2,3.0,33.13
